docid,wordcount,f,ipm
"zhvalevskiy_pasternak.tipa_smotri_koroche","32178",1, 0.01030
"zhvalevskiy_pasternak.smert_mertvym_dusham","49314",1, 0.01030
"zhvalevskiy_pasternak.siamcy","45686",1, 0.01030
"zhvalevskiy_pasternak.poka_ya_na_krayu","57357",1, 0.01030
"zhvalevskiy_pasternak.otkrytyy_final","53537",1, 0.01030
"zhvalevskiy_pasternak.ohota_na_vasiliska","32136",1, 0.01030
"zhvalevskiy_pasternak.minus_odin","47190",1, 0.01030
"zhvalevskiy_pasternak.gimnaziya_13","70799",1, 0.01030
"zhvalevskiy_pasternak.bezhim_otsyuda","24987",1, 0.01030
"zhvalevskiy_pasternak.52_e_fevralya","19876",1, 0.01030
"zartayskaya.on_mne_prisnilsya.teni","27126",1, 0.01030
"yarceva.solo_na_vodonapornoy_bashne","20769",1, 0.01030
"yakovleva_s.my_i_bolshushchee_ozero","11155",1, 0.01030
"yakovleva.zhuki_ne_plachut","29707",1, 0.01030
"yakovleva.deti_vorona","37037",1, 0.01030
"vostokov.frosya_korovina","20609",1, 0.01030
"vostokov.brat-yunnat","15330",1, 0.01030
"volyinskaya_kascheev.rassledovanie_online","46983",1, 0.01030
"volyinskaya_kascheev.poymat_zvezdu","39818",1, 0.01030
"volyinskaya_kascheev.konets_sveta_otmenyaetsya","47003",1, 0.01030
"volyinskaya_kascheev.akteryi_na_mushke","48233",1, 0.01030
"vladimirova.polosa_prepyatstviy","27725",1, 0.01030
"verkin.shagi_za_spinoy","36442",1, 0.01030
"verkin.mertvec","85671",1, 0.01030
"venediktova.armas_zona_nadezhdy","25138",1, 0.01030
"vasilyeva.gagara","24417",1, 0.01030
"vardenburg.pravilo_69_dlya_tolstoy_chayki","25900",1, 0.01030
"usachev_andrei.volshebnoe_derevo","2702",1, 0.01030
"ulanova.pro_mamu_i_vishnevyie_kostochki","21808",1, 0.01030
"toropcev.azovskoe_more_i_reka_rozhajka","9372",1, 0.01030
"svichkar.i_skolko_raz_byvali_holoda","27592",1, 0.01030
"spashenko_evgeniya.keiptaun_kotorogo_net","30181",1, 0.01030
"sotnikov.honorik_i_ognennyiy_vsadnik","23539",1, 0.01030
"sokovenina.priklyucheniya_p_oslikova_rebenka_kotoryiy_hotel_kak_luchshe","21593",1, 0.01030
"sholohova.zvezda","42351",1, 0.01030
"sholohova.plohoy_zhestokiy_samyy_luchshiy","41913",1, 0.01030
"shiposhina.tayna_gory_ili_portret_kuznechika","24440",1, 0.01030
"shiposhina.angely_ne_brosayut_svoih","28162",1, 0.01030
"savushkina.czarskoe_delo","24609",1, 0.01030
